5,5;0
6;0,0267304
6,5;0,025874
7;0,0294611
7,5;0,0382448
8;0,0887092
8,5;0,256663
9;0,0768166
9,5;0,175267
10;0,219826
10,5;0,0613744
11;0,0498837
11,5;0,0620446
12;0,0391249
12,5;0,0317326
13;0,0308983
13,5;0,0310278
14;0,0310585
14,5;0,0317818
15;0,0313018
15,5;0,0310569
16;0,0307386
16,5;0,0300415
17;0,0298068
17,5;0,0292824
18;0,0289502
18,5;0,0281758
19;0,0271839
19,5;0,0267301
20;0,0259578
20,5;0,024834
21;0,0243287
21,5;0,0230886
22;0,0223042
22,5;0,0212806
23;0,0203605
23,5;0,0196946
24;0,0186898
24,5;0,0181468
25;0,0170587
25,5;0,0164434
26;0,0153991
26,5;0,01453
27;0,0136799
27,5;0,0129624
28;0,0119577
28,5;0,0111038
29;0,0100734
29,5;0,00923911
30;0,00870747
30,5;0,00767797
31;0,00695892
31,5;0,00603335
32;0,0052673
32,5;0,00447256
33;0,00352524
33,5;0,00265206
34;0,00200947
34,5;0,00152379
35;0,000252675
35,5;0
